scheduler,guardrail,weight_time,weight_energy,weight_carbon,makespan_min,total_energy_kwh,total_carbon_g,average_utilization,makespan_change_percent,energy_saving_percent,carbon_saving_percent
green_aware,0.05,0.6,0.2,0.2,72.22286574074073,0.25337277485018,67.29198564499428,0.20515636811793794,0.0,0.0,0.0
green_aware,0.05,0.4,0.2,0.4,72.24508796296296,0.2533452864242541,67.28452156245724,0.20513171242611075,0.030768956609942714,0.010849005360650756,0.011092082460485594
green_aware,0.05,0.4,0.4,0.2,72.24508796296296,0.2533452864242541,67.28452156245724,0.20513171242611075,0.030768956609942714,0.010849005360650756,0.011092082460485594
green_aware,0.05,0.2,0.4,0.4,74.87507371794871,0.2515167386441022,66.78000569244982,0.20231708732140427,3.672255247705957,0.7325318227956046,0.760833474651004
green_aware,0.1,0.6,0.2,0.2,72.22286574074073,0.25337277485018,67.29198564499428,0.20515636811793794,0.0,0.0,0.0
green_aware,0.1,0.4,0.2,0.4,77.71545833333333,0.23918677889934387,63.48149287726953,0.20516886184588368,7.6050604420896635,5.598863555575123,5.662624948871914
green_aware,0.1,0.4,0.4,0.2,77.71545833333333,0.23918677889934387,63.48149287726953,0.20516886184588368,7.6050604420896635,5.598863555575123,5.662624948871914
green_aware,0.1,0.2,0.4,0.4,80.0409569088319,0.23812774684806182,63.183721663042924,0.2028396471385396,10.82495285655912,6.016837448748238,6.105131157259833
green_aware,0.15,0.6,0.2,0.2,72.22286574074073,0.25337277485018,67.29198564499428,0.20515636811793794,0.0,0.0,0.0
green_aware,0.15,0.4,0.2,0.4,77.71545833333333,0.23918677889934387,63.48149287726953,0.20516886184588368,7.6050604420896635,5.598863555575123,5.662624948871914
green_aware,0.15,0.4,0.4,0.2,77.71545833333333,0.23918677889934387,63.48149287726953,0.20516886184588368,7.6050604420896635,5.598863555575123,5.662624948871914
green_aware,0.15,0.2,0.4,0.4,80.0409569088319,0.23812774684806182,63.183721663042924,0.2028396471385396,10.82495285655912,6.016837448748238,6.105131157259833
